hostname,os,enviroment,country,node
LTNOR005,Linux,Testing,Norway,5
ATDEU008,AIX,Testing,Germany,8
SPIRL024,Solaris,Production,Ireland,24
LTDEU015,Linux,Testing,Germany,15
SPDEU017,Solaris,Production,Germany,17
LPITA011,Linux,Production,Italy,11
ATDEU009,AIX,Testing,Germany,9
LPDEU012,Linux,Production,Germany,12
LSESP010,Linux,Staging,Spain,10
SDESP003,Solaris,Development,Spain,3
SPNOR006,Solaris,Production,Norway,6
AIIRL005,AIX,Integration,Ireland,5
SINOR002,Solaris,Integration,Norway,2
SPIRL025,Solaris,Production,Ireland,25
SDITA002,Solaris,Development,Italy,2
SSIRL015,Solaris,Staging,Ireland,15
HPDEU007,HP-UX,Production,Germany,7
STIRL011,Solaris,Testing,Ireland,11
HPDEU008,HP-UX,Production,Germany,8
LPESP015,Linux,Production,Spain,15
ATDEU010,AIX,Testing,Germany,10
SSNOR003,Solaris,Staging,Norway,3
LPIRL031,Linux,Production,Ireland,31
LTIRL025,Linux,Testing,Ireland,25
LPIRL032,Linux,Production,Ireland,32
LSNOR005,Linux,Staging,Norway,5
STIRL012,Solaris,Testing,Ireland,12
AIIRL006,AIX,Integration,Ireland,6
APIRL011,AIX,Production,Ireland,11
LDIRL011,Linux,Development,Ireland,11
LPIRL033,Linux,Production,Ireland,33
SDFRA003,Solaris,Development,France,3
LTDEU016,Linux,Testing,Germany,16
LIESP006,Linux,Integration,Spain,6
LSITA010,Linux,Staging,Italy,10
SSNOR004,Solaris,Staging,Norway,4
STITA009,Solaris,Testing,Italy,9
APNOR001,AIX,Production,Norway,1
LPIRL034,Linux,Production,Ireland,34
STDEU017,Solaris,Testing,Germany,17
LPFRA009,Linux,Production,France,9
SIESP002,Solaris,Integration,Spain,2
LTIRL026,Linux,Testing,Ireland,26
STIRL013,Solaris,Testing,Ireland,13
LIFRA003,Linux,Integration,France,3
STDEU018,Solaris,Testing,Germany,18
LTIRL027,Linux,Testing,Ireland,27
ADESP002,AIX,Development,Spain,2
HPDEU009,HP-UX,Production,Germany,9
APFRA004,AIX,Production,France,4
HPESP006,HP-UX,Production,Spain,6
LTITA010,Linux,Testing,Italy,10
APIRL012,AIX,Production,Ireland,12
ATNOR004,AIX,Testing,Norway,4
LTITA011,Linux,Testing,Italy,11
STDEU019,Solaris,Testing,Germany,19
HSNOR002,HP-UX,Staging,Norway,2
STITA010,Solaris,Testing,Italy,10
ATITA005,AIX,Testing,Italy,5
LTIRL028,Linux,Testing,Ireland,28
APITA012,AIX,Production,Italy,12
SSIRL016,Solaris,Staging,Ireland,16
LPFRA010,Linux,Production,France,10
ADNOR001,AIX,Development,Norway,1
SSIRL017,Solaris,Staging,Ireland,17
LTDEU017,Linux,Testing,Germany,17
SPIRL026,Solaris,Production,Ireland,26
SPIRL027,Solaris,Production,Ireland,27
LPDEU013,Linux,Production,Germany,13
ASIRL011,AIX,Staging,Ireland,11
LPFRA011,Linux,Production,France,11
SPESP013,Solaris,Production,Spain,13
LPESP016,Linux,Production,Spain,16
LSIRL014,Linux,Staging,Ireland,14
LDNOR004,Linux,Development,Norway,4
SSDEU010,Solaris,Staging,Germany,10
LPFRA012,Linux,Production,France,12
STFRA004,Solaris,Testing,France,4
LSIRL015,Linux,Staging,Ireland,15
LPDEU014,Linux,Production,Germany,14
LSDEU019,Linux,Staging,Germany,19
LTIRL029,Linux,Testing,Ireland,29
LPNOR006,Linux,Production,Norway,6
HDDEU003,HP-UX,Development,Germany,3
LTIRL030,Linux,Testing,Ireland,30
LTITA012,Linux,Testing,Italy,12
APFRA005,AIX,Production,France,5
LSITA011,Linux,Staging,Italy,11
ASIRL012,AIX,Staging,Ireland,12
HPNOR002,HP-UX,Production,Norway,2
SSITA010,Solaris,Staging,Italy,10
LTIRL031,Linux,Testing,Ireland,31
APESP007,AIX,Production,Spain,7
STIRL014,Solaris,Testing,Ireland,14
STIRL015,Solaris,Testing,Ireland,15
HSDEU004,HP-UX,Staging,Germany,4
HTNOR001,HP-UX,Testing,Norway,1
STESP008,Solaris,Testing,Spain,8
LTIRL032,Linux,Testing,Ireland,32
LPIRL035,Linux,Production,Ireland,35
STDEU020,Solaris,Testing,Germany,20
STIRL016,Solaris,Testing,Ireland,16
LSDEU020,Linux,Staging,Germany,20
SDDEU008,Solaris,Development,Germany,8
SSIRL018,Solaris,Staging,Ireland,18
STDEU021,Solaris,Testing,Germany,21
STIRL017,Solaris,Testing,Ireland,17
LSDEU021,Linux,Staging,Germany,21
LPNOR007,Linux,Production,Norway,7
SPITA010,Solaris,Production,Italy,10
SPIRL028,Solaris,Production,Ireland,28
LDDEU006,Linux,Development,Germany,6
LPITA012,Linux,Production,Italy,12
STIRL018,Solaris,Testing,Ireland,18
LPDEU015,Linux,Production,Germany,15
LPESP017,Linux,Production,Spain,17
HTDEU007,HP-UX,Testing,Germany,7
ASIRL013,AIX,Staging,Ireland,13
APDEU011,AIX,Production,Germany,11
LDITA006,Linux,Development,Italy,6
SSDEU011,Solaris,Staging,Germany,11
ASIRL014,AIX,Staging,Ireland,14
LDESP006,Linux,Development,Spain,6
HSESP003,HP-UX,Staging,Spain,3
LSESP011,Linux,Staging,Spain,11
SIDEU004,Solaris,Integration,Germany,4
STNOR004,Solaris,Testing,Norway,4
ASIRL015,AIX,Staging,Ireland,15
ATESP008,AIX,Testing,Spain,8
APESP008,AIX,Production,Spain,8
SSIRL019,Solaris,Staging,Ireland,19
SIDEU005,Solaris,Integration,Germany,5
SPDEU018,Solaris,Production,Germany,18
ASFRA003,AIX,Staging,France,3
HTESP003,HP-UX,Testing,Spain,3
ATIRL012,AIX,Testing,Ireland,12
LDITA007,Linux,Development,Italy,7
LTIRL033,Linux,Testing,Ireland,33
LSIRL016,Linux,Staging,Ireland,16
SPFRA007,Solaris,Production,France,7
ATDEU011,AIX,Testing,Germany,11
ATITA006,AIX,Testing,Italy,6
HPIRL005,HP-UX,Production,Ireland,5
LSESP012,Linux,Staging,Spain,12
LTESP011,Linux,Testing,Spain,11
LTDEU018,Linux,Testing,Germany,18
LTITA013,Linux,Testing,Italy,13
SIIRL005,Solaris,Integration,Ireland,5
SSIRL020,Solaris,Staging,Ireland,20
LDESP007,Linux,Development,Spain,7
HSIRL005,HP-UX,Staging,Ireland,5
LPFRA013,Linux,Production,France,13
LTDEU019,Linux,Testing,Germany,19
LTDEU020,Linux,Testing,Germany,20
STDEU022,Solaris,Testing,Germany,22
ATITA007,AIX,Testing,Italy,7
HPDEU010,HP-UX,Production,Germany,10
LTIRL034,Linux,Testing,Ireland,34
STDEU023,Solaris,Testing,Germany,23
LTIRL035,Linux,Testing,Ireland,35
LTITA014,Linux,Testing,Italy,14
SSFRA003,Solaris,Staging,France,3
LPESP018,Linux,Production,Spain,18
STFRA005,Solaris,Testing,France,5
LPFRA014,Linux,Production,France,14
LTITA015,Linux,Testing,Italy,15
ATDEU012,AIX,Testing,Germany,12
STNOR005,Solaris,Testing,Norway,5
LSFRA006,Linux,Staging,France,6
LSNOR006,Linux,Staging,Norway,6
HPIRL006,HP-UX,Production,Ireland,6
STIRL019,Solaris,Testing,Ireland,19
STFRA006,Solaris,Testing,France,6
LTDEU021,Linux,Testing,Germany,21
LPITA013,Linux,Production,Italy,13
ASESP006,AIX,Staging,Spain,6
SSESP009,Solaris,Staging,Spain,9
SDDEU009,Solaris,Development,Germany,9
STNOR006,Solaris,Testing,Norway,6
LPDEU016,Linux,Production,Germany,16
LSITA012,Linux,Staging,Italy,12
STIRL020,Solaris,Testing,Ireland,20
ASIRL016,AIX,Staging,Ireland,16
SDESP004,Solaris,Development,Spain,4
SPDEU019,Solaris,Production,Germany,19
SPDEU020,Solaris,Production,Germany,20
LPFRA015,Linux,Production,France,15
LSESP013,Linux,Staging,Spain,13
APESP009,AIX,Production,Spain,9
LTITA016,Linux,Testing,Italy,16
APIRL013,AIX,Production,Ireland,13
LSESP014,Linux,Staging,Spain,14
STIRL021,Solaris,Testing,Ireland,21
LSIRL017,Linux,Staging,Ireland,17
STNOR007,Solaris,Testing,Norway,7
SDIRL010,Solaris,Development,Ireland,10
SDIRL011,Solaris,Development,Ireland,11
LPITA014,Linux,Production,Italy,14
LPFRA016,Linux,Production,France,16
LPDEU017,Linux,Production,Germany,17
SPFRA008,Solaris,Production,France,8
SSFRA004,Solaris,Staging,France,4
APDEU012,AIX,Production,Germany,12
LPITA015,Linux,Production,Italy,15
AIDEU001,AIX,Integration,Germany,1
SSIRL021,Solaris,Staging,Ireland,21
LTDEU022,Linux,Testing,Germany,22
SIDEU006,Solaris,Integration,Germany,6
HTDEU008,HP-UX,Testing,Germany,8
LDFRA003,Linux,Development,France,3
ASESP007,AIX,Staging,Spain,7
ASNOR003,AIX,Staging,Norway,3
LTFRA011,Linux,Testing,France,11
LTIRL036,Linux,Testing,Ireland,36
SPDEU021,Solaris,Production,Germany,21
SSFRA005,Solaris,Staging,France,5
STIRL022,Solaris,Testing,Ireland,22
LTIRL037,Linux,Testing,Ireland,37
LPDEU018,Linux,Production,Germany,18
ASDEU008,AIX,Staging,Germany,8
HSIRL006,HP-UX,Staging,Ireland,6
LSITA013,Linux,Staging,Italy,13
HSIRL007,HP-UX,Staging,Ireland,7
SIFRA002,Solaris,Integration,France,2
HSDEU005,HP-UX,Staging,Germany,5
APIRL014,AIX,Production,Ireland,14
APDEU013,AIX,Production,Germany,13
LTITA017,Linux,Testing,Italy,17
APDEU014,AIX,Production,Germany,14
STDEU024,Solaris,Testing,Germany,24
LTFRA012,Linux,Testing,France,12
SPDEU022,Solaris,Production,Germany,22
STDEU025,Solaris,Testing,Germany,25
APDEU015,AIX,Production,Germany,15
STNOR008,Solaris,Testing,Norway,8
SDIRL012,Solaris,Development,Ireland,12
LPITA016,Linux,Production,Italy,16
ATNOR005,AIX,Testing,Norway,5
ASESP008,AIX,Staging,Spain,8
SSNOR005,Solaris,Staging,Norway,5
LTESP012,Linux,Testing,Spain,12
SPESP014,Solaris,Production,Spain,14
STIRL023,Solaris,Testing,Ireland,23
LTITA018,Linux,Testing,Italy,18
SDIRL013,Solaris,Development,Ireland,13
SPIRL029,Solaris,Production,Ireland,29
HPIRL007,HP-UX,Production,Ireland,7
LPIRL036,Linux,Production,Ireland,36
LDFRA004,Linux,Development,France,4
SPESP015,Solaris,Production,Spain,15
LINOR001,Linux,Integration,Norway,1
LPIRL037,Linux,Production,Ireland,37
HSIRL008,HP-UX,Staging,Ireland,8
SSFRA006,Solaris,Staging,France,6
LTIRL038,Linux,Testing,Ireland,38
LIESP007,Linux,Integration,Spain,7
LIESP008,Linux,Integration,Spain,8
LPITA017,Linux,Production,Italy,17
LSFRA007,Linux,Staging,France,7
HTIRL010,HP-UX,Testing,Ireland,10
LPITA018,Linux,Production,Italy,18
LSDEU022,Linux,Staging,Germany,22
ASIRL017,AIX,Staging,Ireland,17
STDEU026,Solaris,Testing,Germany,26
ADITA002,AIX,Development,Italy,2
LTITA019,Linux,Testing,Italy,19
SSDEU012,Solaris,Staging,Germany,12
HPNOR003,HP-UX,Production,Norway,3
SPFRA009,Solaris,Production,France,9
SPESP016,Solaris,Production,Spain,16
LSFRA008,Linux,Staging,France,8
SIITA003,Solaris,Integration,Italy,3
ASDEU009,AIX,Staging,Germany,9
LPIRL038,Linux,Production,Ireland,38
LSNOR007,Linux,Staging,Norway,7
LPDEU019,Linux,Production,Germany,19
LPESP019,Linux,Production,Spain,19
HTDEU009,HP-UX,Testing,Germany,9
SSIRL022,Solaris,Staging,Ireland,22
HPFRA002,HP-UX,Production,France,2
AIDEU002,AIX,Integration,Germany,2
APFRA006,AIX,Production,France,6
LPESP020,Linux,Production,Spain,20
APIRL015,AIX,Production,Ireland,15
ATDEU013,AIX,Testing,Germany,13
LSIRL018,Linux,Staging,Ireland,18
SIIRL006,Solaris,Integration,Ireland,6
ATIRL013,AIX,Testing,Ireland,13
STITA011,Solaris,Testing,Italy,11
LSIRL019,Linux,Staging,Ireland,19
LPESP021,Linux,Production,Spain,21
LPIRL039,Linux,Production,Ireland,39
APIRL016,AIX,Production,Ireland,16
LTDEU023,Linux,Testing,Germany,23
HSITA001,HP-UX,Staging,Italy,1
SDFRA004,Solaris,Development,France,4
LSESP015,Linux,Staging,Spain,15
APFRA007,AIX,Production,France,7
LTNOR006,Linux,Testing,Norway,6
SPDEU023,Solaris,Production,Germany,23
LSESP016,Linux,Staging,Spain,16
LTDEU024,Linux,Testing,Germany,24
HTIRL011,HP-UX,Testing,Ireland,11
SPITA011,Solaris,Production,Italy,11
SDITA003,Solaris,Development,Italy,3
LPDEU020,Linux,Production,Germany,20
SSESP010,Solaris,Staging,Spain,10
LPIRL040,Linux,Production,Ireland,40
STDEU027,Solaris,Testing,Germany,27
HPDEU011,HP-UX,Production,Germany,11
LSNOR008,Linux,Staging,Norway,8
SDITA004,Solaris,Development,Italy,4
LIIRL011,Linux,Integration,Ireland,11
LSDEU023,Linux,Staging,Germany,23
LPFRA017,Linux,Production,France,17
SSDEU013,Solaris,Staging,Germany,13
HSDEU006,HP-UX,Staging,Germany,6
SSFRA007,Solaris,Staging,France,7
LDESP008,Linux,Development,Spain,8
LPESP022,Linux,Production,Spain,22
HIDEU003,HP-UX,Integration,Germany,3
LDESP009,Linux,Development,Spain,9
APDEU016,AIX,Production,Germany,16
LSESP017,Linux,Staging,Spain,17
LIIRL012,Linux,Integration,Ireland,12
SSDEU014,Solaris,Staging,Germany,14
LDIRL012,Linux,Development,Ireland,12
LPESP023,Linux,Production,Spain,23
SSIRL023,Solaris,Staging,Ireland,23
ATDEU014,AIX,Testing,Germany,14
APIRL017,AIX,Production,Ireland,17
SSESP011,Solaris,Staging,Spain,11
SPDEU024,Solaris,Production,Germany,24
LPDEU021,Linux,Production,Germany,21
LTFRA013,Linux,Testing,France,13
LSESP018,Linux,Staging,Spain,18
SSESP012,Solaris,Staging,Spain,12
STFRA007,Solaris,Testing,France,7
ATDEU015,AIX,Testing,Germany,15
LPESP024,Linux,Production,Spain,24
SSDEU015,Solaris,Staging,Germany,15
SSDEU016,Solaris,Staging,Germany,16
LPITA019,Linux,Production,Italy,19
SSNOR006,Solaris,Staging,Norway,6
LPDEU022,Linux,Production,Germany,22
LSDEU024,Linux,Staging,Germany,24
HTDEU010,HP-UX,Testing,Germany,10
LTITA020,Linux,Testing,Italy,20
STNOR009,Solaris,Testing,Norway,9
LPDEU023,Linux,Production,Germany,23
LSITA014,Linux,Staging,Italy,14
SSITA011,Solaris,Staging,Italy,11
LTESP013,Linux,Testing,Spain,13
LIFRA004,Linux,Integration,France,4
APDEU017,AIX,Production,Germany,17
STIRL024,Solaris,Testing,Ireland,24
SPIRL030,Solaris,Production,Ireland,30
LIIRL013,Linux,Integration,Ireland,13
AIESP003,AIX,Integration,Spain,3
LTNOR007,Linux,Testing,Norway,7
SIDEU007,Solaris,Integration,Germany,7
LTESP014,Linux,Testing,Spain,14
STDEU028,Solaris,Testing,Germany,28
SPNOR007,Solaris,Production,Norway,7
APITA013,AIX,Production,Italy,13
SDDEU010,Solaris,Development,Germany,10
LSESP019,Linux,Staging,Spain,19
LSIRL020,Linux,Staging,Ireland,20
LIDEU010,Linux,Integration,Germany,10
SPESP017,Solaris,Production,Spain,17
LPDEU024,Linux,Production,Germany,24
LDNOR005,Linux,Development,Norway,5
LTDEU025,Linux,Testing,Germany,25
HTDEU011,HP-UX,Testing,Germany,11
LSDEU025,Linux,Staging,Germany,25
SDIRL014,Solaris,Development,Ireland,14
LDESP010,Linux,Development,Spain,10
LTDEU026,Linux,Testing,Germany,26
LDDEU007,Linux,Development,Germany,7
HSITA002,HP-UX,Staging,Italy,2
HIIRL002,HP-UX,Integration,Ireland,2
SPESP018,Solaris,Production,Spain,18
HSIRL009,HP-UX,Staging,Ireland,9
ASDEU010,AIX,Staging,Germany,10
ATDEU016,AIX,Testing,Germany,16
LPIRL041,Linux,Production,Ireland,41
ATIRL014,AIX,Testing,Ireland,14
ADFRA002,AIX,Development,France,2
APITA014,AIX,Production,Italy,14
SPDEU025,Solaris,Production,Germany,25
LTDEU027,Linux,Testing,Germany,27
ASDEU011,AIX,Staging,Germany,11
SPFRA010,Solaris,Production,France,10
AIDEU003,AIX,Integration,Germany,3
ATITA008,AIX,Testing,Italy,8
SPESP019,Solaris,Production,Spain,19
APIRL018,AIX,Production,Ireland,18
SDDEU011,Solaris,Development,Germany,11
SDDEU012,Solaris,Development,Germany,12
SIFRA003,Solaris,Integration,France,3
LSDEU026,Linux,Staging,Germany,26
LSIRL021,Linux,Staging,Ireland,21
LSIRL022,Linux,Staging,Ireland,22
LSDEU027,Linux,Staging,Germany,27
SSITA012,Solaris,Staging,Italy,12
SSFRA008,Solaris,Staging,France,8
SPFRA011,Solaris,Production,France,11
LPESP025,Linux,Production,Spain,25
AIDEU004,AIX,Integration,Germany,4
LDIRL013,Linux,Development,Ireland,13
SSIRL024,Solaris,Staging,Ireland,24
LSITA015,Linux,Staging,Italy,15
APDEU018,AIX,Production,Germany,18
APDEU019,AIX,Production,Germany,19
SIITA004,Solaris,Integration,Italy,4
LTIRL039,Linux,Testing,Ireland,39
LSIRL023,Linux,Staging,Ireland,23
ATFRA003,AIX,Testing,France,3
APIRL019,AIX,Production,Ireland,19
LIIRL014,Linux,Integration,Ireland,14
SSITA013,Solaris,Staging,Italy,13
SDFRA005,Solaris,Development,France,5
HTIRL012,HP-UX,Testing,Ireland,12
SSDEU017,Solaris,Staging,Germany,17
LTESP015,Linux,Testing,Spain,15
SDITA005,Solaris,Development,Italy,5
SIDEU008,Solaris,Integration,Germany,8
ASESP009,AIX,Staging,Spain,9
LPIRL042,Linux,Production,Ireland,42
LPDEU025,Linux,Production,Germany,25
SDFRA006,Solaris,Development,France,6
ATITA009,AIX,Testing,Italy,9
LSIRL024,Linux,Staging,Ireland,24
AIIRL007,AIX,Integration,Ireland,7
LPESP026,Linux,Production,Spain,26
SPESP020,Solaris,Production,Spain,20
HDIRL004,HP-UX,Development,Ireland,4
ATIRL015,AIX,Testing,Ireland,15
ASIRL018,AIX,Staging,Ireland,18
SPDEU026,Solaris,Production,Germany,26
SPDEU027,Solaris,Production,Germany,27
SIIRL007,Solaris,Integration,Ireland,7
ASITA009,AIX,Staging,Italy,9
SPITA012,Solaris,Production,Italy,12
LPESP027,Linux,Production,Spain,27
HIDEU004,HP-UX,Integration,Germany,4
SPIRL031,Solaris,Production,Ireland,31
STDEU029,Solaris,Testing,Germany,29
HSESP004,HP-UX,Staging,Spain,4
LPIRL043,Linux,Production,Ireland,43
LTDEU028,Linux,Testing,Germany,28
ASIRL019,AIX,Staging,Ireland,19
HSDEU007,HP-UX,Staging,Germany,7
LIESP009,Linux,Integration,Spain,9
LTFRA014,Linux,Testing,France,14
HIESP003,HP-UX,Integration,Spain,3
LTDEU029,Linux,Testing,Germany,29
ATESP009,AIX,Testing,Spain,9
LPFRA018,Linux,Production,France,18
APIRL020,AIX,Production,Ireland,20
STFRA008,Solaris,Testing,France,8
HINOR002,HP-UX,Integration,Norway,2
SPIRL032,Solaris,Production,Ireland,32
HTFRA004,HP-UX,Testing,France,4
LIESP010,Linux,Integration,Spain,10
LPFRA019,Linux,Production,France,19
SSIRL025,Solaris,Staging,Ireland,25
STITA012,Solaris,Testing,Italy,12
LPITA020,Linux,Production,Italy,20
ATIRL016,AIX,Testing,Ireland,16
LTFRA015,Linux,Testing,France,15
STITA013,Solaris,Testing,Italy,13
LTIRL040,Linux,Testing,Ireland,40
ATITA010,AIX,Testing,Italy,10
LSFRA009,Linux,Staging,France,9
LTDEU030,Linux,Testing,Germany,30
APITA015,AIX,Production,Italy,15
LPDEU026,Linux,Production,Germany,26
SIIRL008,Solaris,Integration,Ireland,8
LDNOR006,Linux,Development,Norway,6
SPESP021,Solaris,Production,Spain,21
LSDEU028,Linux,Staging,Germany,28
LPESP028,Linux,Production,Spain,28
SDESP005,Solaris,Development,Spain,5
LSIRL025,Linux,Staging,Ireland,25
SPITA013,Solaris,Production,Italy,13
LSFRA010,Linux,Staging,France,10
STNOR010,Solaris,Testing,Norway,10
SPIRL033,Solaris,Production,Ireland,33
SPESP022,Solaris,Production,Spain,22
LDIRL014,Linux,Development,Ireland,14
LSESP020,Linux,Staging,Spain,20
HTDEU012,HP-UX,Testing,Germany,12
SSDEU018,Solaris,Staging,Germany,18
SDIRL015,Solaris,Development,Ireland,15
LTIRL041,Linux,Testing,Ireland,41
LPDEU027,Linux,Production,Germany,27
LIDEU011,Linux,Integration,Germany,11
STESP009,Solaris,Testing,Spain,9
HTESP004,HP-UX,Testing,Spain,4
SIDEU009,Solaris,Integration,Germany,9
HDFRA002,HP-UX,Development,France,2
AIFRA001,AIX,Integration,France,1
LIITA005,Linux,Integration,Italy,5
LIDEU012,Linux,Integration,Germany,12
ASDEU012,AIX,Staging,Germany,12
LDDEU008,Linux,Development,Germany,8
LPIRL044,Linux,Production,Ireland,44
APIRL021,AIX,Production,Ireland,21
STDEU030,Solaris,Testing,Germany,30
SPESP023,Solaris,Production,Spain,23
STITA014,Solaris,Testing,Italy,14
LPFRA020,Linux,Production,France,20
APDEU020,AIX,Production,Germany,20
SPIRL034,Solaris,Production,Ireland,34
LSIRL026,Linux,Staging,Ireland,26
SSITA014,Solaris,Staging,Italy,14
SPIRL035,Solaris,Production,Ireland,35
ATDEU017,AIX,Testing,Germany,17
SSIRL026,Solaris,Staging,Ireland,26
SPIRL036,Solaris,Production,Ireland,36
LPIRL045,Linux,Production,Ireland,45
STESP010,Solaris,Testing,Spain,10
AIESP004,AIX,Integration,Spain,4
SPIRL037,Solaris,Production,Ireland,37
LSDEU029,Linux,Staging,Germany,29
SSDEU019,Solaris,Staging,Germany,19
LSDEU030,Linux,Staging,Germany,30
SSITA015,Solaris,Staging,Italy,15
SSITA016,Solaris,Staging,Italy,16
LPDEU028,Linux,Production,Germany,28
ASFRA004,AIX,Staging,France,4
HPIRL008,HP-UX,Production,Ireland,8
STITA015,Solaris,Testing,Italy,15
APDEU021,AIX,Production,Germany,21
LPDEU029,Linux,Production,Germany,29
LTIRL042,Linux,Testing,Ireland,42
SDDEU013,Solaris,Development,Germany,13
STDEU031,Solaris,Testing,Germany,31
HSITA003,HP-UX,Staging,Italy,3
SDITA006,Solaris,Development,Italy,6
STDEU032,Solaris,Testing,Germany,32
SPNOR008,Solaris,Production,Norway,8
ASESP010,AIX,Staging,Spain,10
LPITA021,Linux,Production,Italy,21
SPIRL038,Solaris,Production,Ireland,38
ATFRA004,AIX,Testing,France,4
LPESP029,Linux,Production,Spain,29
ASDEU013,AIX,Staging,Germany,13
APDEU022,AIX,Production,Germany,22
LPNOR008,Linux,Production,Norway,8
SSITA017,Solaris,Staging,Italy,17
ATDEU018,AIX,Testing,Germany,18
SPITA014,Solaris,Production,Italy,14
APDEU023,AIX,Production,Germany,23
SPFRA012,Solaris,Production,France,12
HSIRL010,HP-UX,Staging,Ireland,10
SDESP006,Solaris,Development,Spain,6
LSESP021,Linux,Staging,Spain,21
HPITA007,HP-UX,Production,Italy,7
LTDEU031,Linux,Testing,Germany,31
LIESP011,Linux,Integration,Spain,11
SSNOR007,Solaris,Staging,Norway,7
ASDEU014,AIX,Staging,Germany,14
LIDEU013,Linux,Integration,Germany,13
STIRL025,Solaris,Testing,Ireland,25
HTESP005,HP-UX,Testing,Spain,5
SSDEU020,Solaris,Staging,Germany,20
LTESP016,Linux,Testing,Spain,16
STFRA009,Solaris,Testing,France,9
HPFRA003,HP-UX,Production,France,3
ASESP011,AIX,Staging,Spain,11
LIIRL015,Linux,Integration,Ireland,15
ATIRL017,AIX,Testing,Ireland,17
LPDEU030,Linux,Production,Germany,30
LSITA016,Linux,Staging,Italy,16
SSITA018,Solaris,Staging,Italy,18
LTIRL043,Linux,Testing,Ireland,43
SPESP024,Solaris,Production,Spain,24
SSESP013,Solaris,Staging,Spain,13
LTITA021,Linux,Testing,Italy,21
STITA016,Solaris,Testing,Italy,16
LPIRL046,Linux,Production,Ireland,46
ASIRL020,AIX,Staging,Ireland,20
LTIRL044,Linux,Testing,Ireland,44
APDEU024,AIX,Production,Germany,24
LTNOR008,Linux,Testing,Norway,8
APFRA008,AIX,Production,France,8
SPIRL039,Solaris,Production,Ireland,39
LIITA006,Linux,Integration,Italy,6
LDITA008,Linux,Development,Italy,8
LPNOR009,Linux,Production,Norway,9
SPDEU028,Solaris,Production,Germany,28
HSDEU008,HP-UX,Staging,Germany,8
LPDEU031,Linux,Production,Germany,31
APESP010,AIX,Production,Spain,10
SIFRA004,Solaris,Integration,France,4
LTIRL045,Linux,Testing,Ireland,45
ATITA011,AIX,Testing,Italy,11
LPIRL047,Linux,Production,Ireland,47
SSIRL027,Solaris,Staging,Ireland,27
HSDEU009,HP-UX,Staging,Germany,9
SPIRL040,Solaris,Production,Ireland,40
LPIRL048,Linux,Production,Ireland,48
SSFRA009,Solaris,Staging,France,9
SSDEU021,Solaris,Staging,Germany,21
HSIRL011,HP-UX,Staging,Ireland,11
LSESP022,Linux,Staging,Spain,22
LSIRL027,Linux,Staging,Ireland,27
SPDEU029,Solaris,Production,Germany,29
LTIRL046,Linux,Testing,Ireland,46
STIRL026,Solaris,Testing,Ireland,26
SPDEU030,Solaris,Production,Germany,30
LDIRL015,Linux,Development,Ireland,15
ASDEU015,AIX,Staging,Germany,15
LTDEU032,Linux,Testing,Germany,32
APFRA009,AIX,Production,France,9
STESP011,Solaris,Testing,Spain,11
SDDEU014,Solaris,Development,Germany,14
ADIRL005,AIX,Development,Ireland,5
HPDEU012,HP-UX,Production,Germany,12
STIRL027,Solaris,Testing,Ireland,27
LIITA007,Linux,Integration,Italy,7
APFRA010,AIX,Production,France,10
LDESP011,Linux,Development,Spain,11
HTESP006,HP-UX,Testing,Spain,6
LIDEU014,Linux,Integration,Germany,14
LTDEU033,Linux,Testing,Germany,33
LPESP030,Linux,Production,Spain,30
LPESP031,Linux,Production,Spain,31
LIIRL016,Linux,Integration,Ireland,16
STIRL028,Solaris,Testing,Ireland,28
LPIRL049,Linux,Production,Ireland,49
SSITA019,Solaris,Staging,Italy,19
ATESP010,AIX,Testing,Spain,10
STESP012,Solaris,Testing,Spain,12
ATDEU019,AIX,Testing,Germany,19
LTDEU034,Linux,Testing,Germany,34
HTIRL013,HP-UX,Testing,Ireland,13
STFRA010,Solaris,Testing,France,10
HIITA001,HP-UX,Integration,Italy,1
AINOR001,AIX,Integration,Norway,1
SSNOR008,Solaris,Staging,Norway,8
LPIRL050,Linux,Production,Ireland,50
ADITA003,AIX,Development,Italy,3
APDEU025,AIX,Production,Germany,25
SIIRL009,Solaris,Integration,Ireland,9
LTDEU035,Linux,Testing,Germany,35
LPDEU032,Linux,Production,Germany,32
LTIRL047,Linux,Testing,Ireland,47
SPITA015,Solaris,Production,Italy,15
LTDEU036,Linux,Testing,Germany,36
SDDEU015,Solaris,Development,Germany,15
HSITA004,HP-UX,Staging,Italy,4
LTIRL048,Linux,Testing,Ireland,48
LTIRL049,Linux,Testing,Ireland,49
SPIRL041,Solaris,Production,Ireland,41
LSIRL028,Linux,Staging,Ireland,28
ASITA010,AIX,Staging,Italy,10
LIESP012,Linux,Integration,Spain,12
ASDEU016,AIX,Staging,Germany,16
HPFRA004,HP-UX,Production,France,4
LSITA017,Linux,Staging,Italy,17
LTIRL050,Linux,Testing,Ireland,50
SSDEU022,Solaris,Staging,Germany,22
LPESP032,Linux,Production,Spain,32
SSIRL028,Solaris,Staging,Ireland,28
ATFRA005,AIX,Testing,France,5
ASFRA005,AIX,Staging,France,5
LDIRL016,Linux,Development,Ireland,16
LSDEU031,Linux,Staging,Germany,31
APESP011,AIX,Production,Spain,11
HTITA002,HP-UX,Testing,Italy,2
LTDEU037,Linux,Testing,Germany,37
